Title,ID,Created Date,Updated Date,Owner,Category,VNDRs (List),VNDRs (Item),VNDRs (List).1,VNDRs (Item).1,Offers,Location,Founders,link ,Contact Info,Phone Number,Description,Logo,Portfolio
The Party Photogropher,05230cf7-24ea-4f68-85a7-f3cbe9363b60,2025-06-27T17:31:45Z,2025-06-27T17:43:12Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Photography,/vndrs/,/vndrs/the-party-photogropher,/vndrs/,/vndrs/the-party-photogropher,Photos,"Galveston, TX",Sammie Metcalf,https://www.facebook.com/profile.php?id=61576607417193,,,,,
Set to Home Interiors,1207da27-fc97-439d-a8ac-c3a519c5477a,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Event Decorators,/vndrs/,/vndrs/set-to-home-interiors,/vndrs/,/vndrs/set-to-home-interiors,Decorator,"Houston ,TX",Samantha McDonald,http://www.settohomeinteriors.com/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExcHlkNFgzZ2ZNMWtyNWdZSAEe-SDOXQdfwSsEU8ZBQMqvuOCVDYKLR-q0WFgRQuaHABnxI1FBtUmfwVxza38_aem_akpQ-aIieTY35pIX6-RCow,,,,,
The Teaspoon,12302906-122e-4ccd-b650-7afd60080a17,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Venue,/vndrs/,/vndrs/the-teaspoon,/vndrs/,/vndrs/the-teaspoon,Venue,"Alvin, TX",Kristi Lee Morales- Montemayor,https://www.facebook.com/theteaspoonbydaycocina,Tspgatherings@gmail.com,,,,
Rubi Perez Photography,13f76a18-e13f-414a-b918-5a0c268dbfe8,2025-06-27T17:31:45Z,2025-06-27T17:43:16Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Photography,/vndrs/,/vndrs/rubi-perez-photography,/vndrs/,/vndrs/rubi-perez-photography,Photos,"Alvin, TX",Rubi Perez- Vega,https://www.facebook.com/RubiPerezPhotography,rubiperezphotography@gmail.com,,,,
Event Hospitality with Deanna,22116b86-c318-4936-b50b-e934a85dc1b3,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Hospitality (set up/ clean up),/vndrs/,/vndrs/event-hospitality-with-deanna,/vndrs/,/vndrs/event-hospitality-with-deanna,"set up, servicing, bartending, clean up","Ridgewood, NJ",Deanna DeRisi,buisness card/ DM ,Dhockeymom5@gmail.com,,,,
World Famous Daiquiris,23fcceba-87fc-4d48-91c3-936bd93425fc,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Mobile Bars,/vndrs/,/vndrs/world-famous-daiquiris,/vndrs/,/vndrs/world-famous-daiquiris,margarita / bar rental,"Clear Lake, TX",Erin Johnson,https://www.facebook.com/worldfamousdaiquiris,worldfamousdaiqsandmargs@gmail.com,,,,
Pour Decisions by Mika,2f94d9f7-efde-47b9-9dcc-17762765ec2d,2025-06-30T16:37:41Z,2025-07-01T02:39:11Z,5651eb21-6fc6-4fd3-99f4-54818c96016b,Mobile Bars,/vndrs/,/vndrs/pour-decisions-by-mika,/vndrs/,/vndrs/pour-decisions-by-mika,"Full-Service Mobile Bar
	•Professional bartenders & setup
	•Signature cocktails & mocktails
	•Personalized drink menu tailored to your event",  Based in Houston — Serving the Surrounding Area,Mika Smith,http://PD.byMika,PDbyMika@gmail.com,8328775980.0,"Pour Decisions by Mika is an elevated mobile bar service specializing in a high-end cocktail experience that comes to you. We craft each drink with homemade garnishes, freshly squeezed juices, and premium ingredients, ensuring every sip is as memorable as the occasion.

We serve in sleek, upscale Tossware cups, offering the elegance of glass with the convenience of mobility. Each event includes a personalized drink menu, thoughtfully curated to reflect your taste, theme, and style.

From intimate gatherings to large celebrations, our team delivers top-notch service with a focus on professionalism, presentation, and hospitality. Whether you’re hosting a wedding, corporate event, or private party, we bring the bar—and the vibe—to you.",wix:image://v1/5651eb_4a27ca272dbd44c4a29dc736dd0bdb35~mv2.jpeg/IMG_0956.jpeg#originWidth=1631&originHeight=932,wix:image://v1/5651eb_99d2549b77324341aa24543d8e3a5f7c~mv2.jpeg/IMG_1309.jpeg#originWidth=5712&originHeight=4284
Penny Accents,32ec91f1-25ef-4aa4-a93c-d30c9fc4f128,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Apparel ,/vndrs/,/vndrs/penny-accents,/vndrs/,/vndrs/penny-accents,Apparel,"Alvin, TX",Heather Lynch,https://www.facebook.com/Pennyaccents,pennyaccents18@gmail.com,,,,
Alexander and Bloom Co. ,43a5bc23-551e-4257-aeaa-11649f8c97ec,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Balloons,/vndrs/,/vndrs/alexander-and-bloom-co.-,/vndrs/,/vndrs/alexander-and-bloom-co.-,"Baloon decor, wood flower arrangement","Alvin, TX",Miranda Sanchez,https://www.facebook.com/profile.php?id=61575140530312,information@alexanderandbloomco.com,,,,
Chef Yo in the kitchen,5302e6ff-2fe2-46a6-a5a5-53580dd9e9a1,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Food Vendors,/vndrs/,/vndrs/chef-yo-in-the-kitchen,/vndrs/,/vndrs/chef-yo-in-the-kitchen,Chef  ( personal category i.e. aniversary),"Houston, TX",Yolanda Metts,https://www.facebook.com/groups/625333780988765/user/61577176631659/,,,,,
Beers rolling smoke BBQ,561a56cc-bdfc-4c17-ad06-041d29c56e91,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Food Vendors,/vndrs/,/vndrs/beers-rolling-smoke-bbq,/vndrs/,/vndrs/beers-rolling-smoke-bbq,BBQ food vendor,"League City, TX",Ashely/ Chris Beers,https://www.facebook.com/profile.php?id=100087936537385,beersrollingsmokebbq@yahoo.com,,,,
